>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Tue May 18 14:56:11 2021 | (b'\xb8\x08\xd8\x01',) | (54529, 54529, 52481, 52481, 57601, 57601, 61697, 61697) | (b'\xe3\x01\xe3\x01\xdc\x01\xdc\x01\xd9\x01\xd9\x01',) | (8.963424684712807e-38,)
>> Tue May 18 14:56:11 2021 | (b'\x02\x0c\xdf\x02',) | (56578, 56578, 56066, 56066, 56578, 56578, 55298, 55298) | (b'\xd9\x02\xd9\x02\xd9\x02\xd9\x02\xd6\x02\xd6\x02',) | (2.9535894165698075e-37,)
>> Tue May 18 14:56:11 2021 | (b'\xa8\x02S\x07',) | (23815, 23815, 22535, 22535, 23303, 23303, 24583, 24583) | (b'^\x07^\x07[\x07[\x07`\x07`\x07',)       | (1.6628355971908657e-34,)
>> Tue May 18 14:56:11 2021 | (b'\xa3\x07T\t',) | (20489, 20489, 19721, 19721, 18441, 18441, 17417, 17417) | (b'G\tG\t>\t>\t9\t9\t',)                   | (2.2032156537637744e-33,)
>> Tue May 18 14:56:11 2021 | (b'\x12\t\xb4\x01',) | (44801, 44801, 43521, 43521, 48385, 48385, 48129, 48129) | (b'\xbe\x01\xbe\x01\xbb\x01\xbb\x01\xb6\x01\xb6\x01',) | (6.796073904740457e-38,)
>> Tue May 18 14:56:12 2021 | (b'\xc8\x01\xeb\x0b',) | (59659, 59659, 59659, 59659, 59147, 59147, 59659, 59659) | (b'\xef\x0b\xef\x0b\xe7\x0b\xe7\x0b\xe4\x0b\xe4\x0b',) | (8.822548835442667e-32,)
>> Tue May 18 14:56:12 2021 | (b'\xf4\x0b\x1c\x03',) | (6915, 6915, 3331, 3331, 7171, 7171, 5635, 5635) | (b'\x16\x03\x16\x03\x18\x03\x18\x03\x1b\x03\x1b\x03',) | (4.379070256649294e-37,)
>> Tue May 18 14:56:12 2021 | (b'\xe4\x02\xfb\x06',) | (263, 263, 2055, 2055, 2055, 2055, 64006, 64006) | (b'\xf8\x06\xf8\x06\x1a\x07\x1a\x07\x12\x07\x12\x07',) | (1.0158336341824417e-34,)
>> Tue May 18 14:56:12 2021 | (b'I\x07\x9c\t',) | (35337, 35337, 33801, 33801, 34825, 34825, 34313, 34313) | (b'\x86\t\x86\t\x85\t\x85\t\x83\t\x83\t',) | (3.250902728253978e-33,)
>> Tue May 18 14:56:12 2021 | (b'H\t\x96\x01',) | (37377, 37377, 35841, 35841, 35841, 35841, 33793, 33793) | (b'\x94\x01\x94\x01\x8e\x01\x8e\x01\x97\x01\x97\x01',) | (6.171583002036559e-38,)
>> Tue May 18 14:56:12 2021 | (b'\xb1\x01\xd9\x0b',) | (53771, 53771, 53515, 53515, 54283, 54283, 53771, 53771) | (b'\xf4\x0b\xf4\x0b\xcf\x0b\xcf\x0b\xd1\x0b\xd1\x0b',) | (8.129203476014105e-32,)
>> Tue May 18 14:56:12 2021 | (b'\xe9\x0bj\x03',) | (20995, 20995, 22275, 22275, 23043, 23043, 24323, 24323) | (b'^\x03^\x03W\x03W\x03U\x03U\x03',)       | (6.406828952487832e-37,)
>> Tue May 18 14:56:12 2021 | (b"'\x03\x9b\x06",) | (42246, 42246, 45318, 45318, 44550, 44550, 45830, 45830) | (b'\x9e\x06\x9e\x06\x9c\x06\x9c\x06\xad\x06\xad\x06',) | (8.013173371972089e-35,)
>> Tue May 18 14:56:13 2021 | (b'\xf7\x06\xd5\t',) | (53001, 53001, 53257, 53257, 50185, 50185, 54025, 54025) | (b'\xd0\t\xd0\t\xca\t\xca\t\xcd\t\xcd\t',) | (4.863893668591258e-33,)
>> Tue May 18 14:56:13 2021 | (b'\x96\t~\x01',) | (30465, 30465, 31745, 31745, 31233, 31233, 30465, 30465) | (b'r\x01r\x01}\x01}\x01z\x01z\x01',)       | (4.646982884537337e-38,)
>> Tue May 18 14:56:13 2021 | (b'\x8c\x01\xb9\x0b',) | (46603, 46603, 45067, 45067, 42763, 42763, 47883, 47883) | (b'\xbd\x0b\xbd\x0b\xb7\x0b\xb7\x0b\xb5\x0b\xb5\x0b',) | (7.243262183410942e-32,)
>> Tue May 18 14:56:13 2021 | (b'\xc6\x0b\xb5\x03',) | (40451, 40451, 42499, 42499, 41219, 41219, 42243, 42243) | (b'\xae\x03\xae\x03\xa5\x03\xa5\x03\xa0\x03\xa0\x03',) | (8.758255307668785e-37,)
>> Tue May 18 14:56:13 2021 | (b'o\x03X\x06',) | (21254, 21254, 23046, 23046, 24582, 24582, 23814, 23814) | (b'b\x06b\x06G\x06G\x06`\x06`\x06',)       | (3.931317165391253e-35,)
>> Tue May 18 14:56:13 2021 | (b'\xd9\tS\x01',) | (21761, 21761, 22017, 22017, 22785, 22785, 24065, 24065) | (b'd\x01d\x01e\x01e\x01f\x01f\x01',)       | (4.2796352947115147e-38,)
>> Tue May 18 14:56:13 2021 | (b't\x01\xa4\x0b',) | (38923, 38923, 39691, 39691, 39179, 39179, 37387, 37387) | (b'\x9f\x0b\x9f\x0b\x96\x0b\x96\x0b\xa3\x0b\xa3\x0b',) | (6.511397637347459e-32,)
>> Tue May 18 14:56:14 2021 | (b'\xf7\x03\xf7\x03',) | (61955, 61955, 60931, 60931, 59651, 59651, 58883, 58883) | (b'\xe7\x03\xe7\x03\xe6\x03\xe6\x03\xe9\x03\xe9\x03',) | (1.3577855686183571e-36,)
>> Tue May 18 14:56:14 2021 | (b'\xbc\x03\x00\x06',) | (518, 518, 262, 262, 1286, 1286, 1030, 1030) | (b'\x02\x06\x02\x06\x0c\x06\x0c\x06\r\x06\r\x06',) | (2.55831881365826e-35,)
>> Tue May 18 14:56:14 2021 | (b'W\x01o\x0b',) | (29451, 29451, 29707, 29707, 30219, 30219, 28171, 28171) | (b'\x7f\x0b\x7f\x0b\x86\x0b\x86\x0b}\x0b}\x0b',) | (4.970630171950654e-32,)
>> Tue May 18 14:56:14 2021 | (b'\x90\x0b0\x04',) | (12292, 12292, 7428, 7428, 25604, 25604, 13316, 13316) | (b'+\x04+\x045\x045\x043\x043\x04',)       | (2.18661356676157e-36,)
>> Tue May 18 14:56:14 2021 | (b'\xe9\x03\xb0\x05',) | (47877, 47877, 45317, 45317, 43269, 43269, 47621, 47621) | (b'\xb9\x05\xb9\x05\xbd\x05\xbd\x05\xb2\x05\xb2\x05',) | (1.7023254632092455e-35,)
>> Tue May 18 14:56:15 2021 | (b'X\x01I\x0b',) | (18699, 18699, 18187, 18187, 18955, 18955, 19467, 19467) | (b'M\x0bM\x0bK\x0bK\x0bJ\x0bJ\x0b',)       | (3.968266155600526e-32,)
>> Tue May 18 14:56:15 2021 | (b'q\x0b\x89\x04',) | (34052, 34052, 34820, 34820, 33796, 33796, 33796, 33796) | (b'\x84\x04\x84\x04\x82\x04\x82\x04y\x04y\x04',) | (2.8213902019805906e-36,)
>> Tue May 18 14:56:15 2021 | (b'F\x04g\x05',) | (25093, 25093, 23813, 23813, 22789, 22789, 25349, 25349) | (b'\\\x05\\\x05]\x05]\x05d\x05d\x05',)     | (1.0392355140458279e-35,)
>> Tue May 18 14:56:15 2021 | (b'F\x01&\x0b',) | (7947, 7947, 6411, 6411, 7435, 7435, 7947, 7947) | (b'\x1a\x0b\x1a\x0b \x0b \x0b\x1d\x0b\x1d\x0b',) | (2.9860268964100625e-32,)
>> Tue May 18 14:56:15 2021 | (b'?\x0b\xd6\x04',) | (56324, 56324, 55556, 55556, 54532, 54532, 53508, 53508) | (b'\xc1\x04\xc1\x04\xd7\x04\xd7\x04\xde\x04\xde\x04',) | (4.725926737504008e-36,)
>> Tue May 18 14:56:16 2021 | (b'\x1f\x0b!\x05',) | (12805, 12805, 14341, 14341, 12805, 12805, 10245, 10245) | (b'$\x05$\x05\x1b\x05\x1b\x05\x16\x05\x16\x05',) | (7.430064176102849e-36,)
>> Tue May 18 14:56:16 2021 | (b'\xe4\x04\xbd\x04',) | (46084, 46084, 46340, 46340, 46340, 46340, 46084, 46084) | (b'\xb9\x04\xb9\x04\xb9\x04\xb9\x04\xc5\x04\xc5\x04',) | (4.373273051271219e-36,)
>> Tue May 18 14:56:16 2021 | (b'\x01\x055\x0b',) | (18955, 18955, 11787, 11787, 9483, 9483, 7947, 7947) | (b'0\x0b0\x0b-\x0b-\x0b(\x0b(\x0b',)       | (3.3326995761243437e-32,)
>> Tue May 18 14:56:16 2021 | (b'\x05\x0b>\x01',) | (17665, 17665, 16641, 16641, 11265, 11265, 16641, 16641) | (b'A\x01A\x01;\x01;\x01=\x01=\x01',)       | (3.453103217603415e-38,)
>> Tue May 18 14:56:17 2021 | (b'1\x05j\x04',) | (26372, 26372, 29700, 29700, 22532, 22532, 16132, 16132) | (b'\x84\x04\x84\x04t\x04t\x04k\x04k\x04',) | (2.8213902019805906e-36,)
>> Tue May 18 14:56:17 2021 | (b'\xab\x04`\x0b',) | (26379, 26379, 24587, 24587, 18443, 18443, 22283, 22283) | (b'V\x0bV\x0bI\x0bI\x0bX\x0bX\x0b',)       | (4.1801216820925865e-32,)
>> Tue May 18 14:56:17 2021 | (b'7\x0bR\x01',) | (19457, 19457, 17665, 17665, 19457, 19457, 16385, 16385) | (b'N\x01N\x01P\x01P\x01G\x01G\x01',)       | (3.7469812894640726e-38,)
>> Tue May 18 14:56:17 2021 | (b'q\x05\x19\x04',) | (5892, 5892, 5892, 5892, 8196, 8196, 4100, 4100) | (b'&\x04&\x04#\x04#\x04\x1f\x04\x1f\x04',) | (1.9397559863986174e-36,)
>> Tue May 18 14:56:17 2021 | (b'[\x04\x87\x0b',) | (34571, 34571, 34315, 34315, 33803, 33803, 40971, 40971) | (b'\x8e\x0b\x8e\x0b\x8a\x0b\x8a\x0bU\x0bU\x0b',) | (4.8349478548862287e-32,)
>> Tue May 18 14:56:17 2021 | (b']\x0bY\x01',) | (24577, 24577, 21761, 21761, 23553, 23553, 22273, 22273) | (b'Z\x01Z\x01R\x01R\x01`\x01`\x01',)       | (3.857185566411819e-38,)
>> Tue May 18 14:56:18 2021 | (b'\xdf\x05\xcc\x03',) | (53251, 53251, 53507, 53507, 52995, 52995, 53763, 53763) | (b'\xd3\x03\xd3\x03\xd4\x03\xd4\x03\xe8\x03\xe8\x03',) | (1.2872548313717993e-36,)
>> Tue May 18 14:56:18 2021 | (b'\x17\x04\xaa\x0b',) | (40459, 40459, 39435, 39435, 42251, 42251, 43019, 43019) | (b'\xc0\x0b\xc0\x0b\x92\x0b\x92\x0b\x9c\x0b\x9c\x0b',) | (6.434359264077619e-32,)
>> Tue May 18 14:56:18 2021 | (b'~\x0bs\x01',) | (28673, 28673, 27905, 27905, 27137, 27137, 26113, 26113) | (b'g\x01g\x01d\x01d\x01h\x01h\x01',)       | (4.2796352947115147e-38,)
>> Tue May 18 14:56:18 2021 | (b'1\x06\x7f\x03',) | (29699, 29699, 36867, 36867, 40195, 40195, 39427, 39427) | (b'\x91\x03\x91\x03\x93\x03\x93\x03\x8c\x03\x8c\x03',) | (8.17049916394747e-37,)
>> Tue May 18 14:56:18 2021 | (b'\xbd\x03\xc5\x0b',) | (48395, 48395, 45323, 45323, 44811, 44811, 44299, 44299) | (b'\xb7\x0b\xb7\x0b\xc6\x0b\xc6\x0b\xc5\x0b\xc5\x0b',) | (7.358819743315702e-32,)
>> Tue May 18 14:56:19 2021 | (b'\x9b\x0b\x8f\x01',) | (32769, 32769, 33793, 33793, 34305, 34305, 33025, 33025) | (b'\x82\x01\x82\x01\x83\x01\x83\x01\x81\x01\x81\x01',) | (4.775662160698435e-38,)
>> Tue May 18 14:56:19 2021 | (b'K\x01\xb5\t',) | (46857, 46857, 46857, 46857, 47881, 47881, 47369, 47369) | (b'\xbc\t\xbc\t\xbe\t\xbe\t\xc0\t\xc0\t',) | (4.5990742604761824e-33,)
>> Tue May 18 14:56:19 2021 | (b'\xef\t\xce\x06',) | (53766, 53766, 53510, 53510, 55814, 55814, 51718, 51718) | (b'\xcc\x06\xcc\x06\xcb\x06\xcb\x06\xbe\x06\xbe\x06',) | (7.637009439990447e-35,)
>> Tue May 18 14:56:19 2021 | (b'\x7f\x06K\x03',) | (17411, 17411, 14851, 14851, 15107, 15107, 15363, 15363) | (b'I\x03I\x03r\x03r\x03C\x03C\x03',)       | (5.8190728087665165e-37,)
>> Tue May 18 14:56:19 2021 | (b'\x80\x03\xd8\x0b',) | (56587, 56587, 55307, 55307, 51211, 51211, 56331, 56331) | (b'\xdc\x0b\xdc\x0b\xc8\x0b\xc8\x0b\xde\x0b\xde\x0b',) | (8.283280222553785e-32,)
>> Tue May 18 14:56:19 2021 | (b'\xbe\x0b\x99\x01',) | (40193, 40193, 43009, 43009, 42241, 42241, 41217, 41217) | (b'\x9a\x01\x9a\x01\x96\x01\x96\x01\xa3\x01\xa3\x01',) | (5.767500653228155e-38,)
>> Tue May 18 14:56:19 2021 | (b'\x87\x01n\t',) | (27913, 27913, 26377, 26377, 30473, 30473, 27657, 27657) | (b'c\tc\tk\tk\t}\t}\t',)                   | (3.299051711547628e-33,)
>> Tue May 18 14:56:19 2021 | (b'\xac\t0\x07',) | (10759, 10759, 11015, 11015, 11015, 11015, 8711, 8711) | (b'&\x07&\x07\x14\x07\x14\x07\t\x07\t\x07',) | (1.1211595351373014e-34,)
>> Tue May 18 14:56:20 2021 | (b'\xd7\x06\xff\x02',) | (1027, 1027, 1283, 1283, 3075, 3075, 1539, 1539) | (b'\x0b\x03\x0b\x03\xfb\x02\xfb\x02\r\x03\r\x03',) | (4.555397099765688e-37,)
