>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Thu Jun  3 16:40:49 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:49 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:49 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[ [ Z\xe0[ ',)                   | 0
>> Thu Jun  3 16:40:49 2021 | (b'Z`[\xe0',) | (23264, 23328, 23424, 23616, 23520, 23584, 23776, 23808) | (b']`]`]\xe0^\x00^\x00]\xe0',)             | 0
>> Thu Jun  3 16:40:50 2021 | (b'Y\xa0\\\xe0',) | (23584, 23712, 23648, 23712, 23872, 23840, 23840, 23904) | (b']`]\xc0]\xe0^\x00^ ]\xe0',)             | 0
>> Thu Jun  3 16:40:50 2021 | (b'Z`]\x80',) | (23776, 23744, 23808, 23840, 23648, 23648, 23712, 23744) | (b'\\`]\x00] ]\x00] ]@',)                  | 0
>> Thu Jun  3 16:40:50 2021 | (b'Z\x00]\x00',) | (23584, 23712, 23808, 23872, 23872, 23744, 23840, 23968) | (b']\x80]\xc0]@]`]\xa0]\xa0',)             | 0
>> Thu Jun  3 16:40:50 2021 | (b'Z ]\x00',) | (23744, 23744, 23584, 23584, 23520, 23648, 23680, 23616) | (b'[\xe0\\ \\\xa0\\\xa0\\`\\\xc0',)        | 0
>> Thu Jun  3 16:40:50 2021 | (b'[`^\x80',) | (23968, 24000, 24064, 24096, 24032, 24128, 24128, 24128) | (b'^ ^@^`^`^`^@',)                         | 0
>> Thu Jun  3 16:40:50 2021 | (b'Y\xa0]@',) | (23648, 23776, 23776, 23840, 23744, 23808, 23648, 23744) | (b']@]`]\xc0^ ^@]\xe0',)                   | 0
>> Thu Jun  3 16:40:50 2021 | (b'[\x80^@',) | (24000, 23712, 23744, 23456, 23712, 23552, 23648, 23712) | (b'\\\xa0\\\xc0]@]\x00\\\xa0\\\xe0',)      | 0
>> Thu Jun  3 16:40:50 2021 | (b'Z\xc0^\x00',) | (23904, 23712, 23648, 23648, 23840, 23520, 23584, 23840) | (b'\\ \\@\\\x80\\\xa0\\\xa0\\`',)          | 0
>> Thu Jun  3 16:40:50 2021 | (b'[\x80^\x80',) | (23968, 24032, 24096, 24096, 24032, 24128, 24096, 24064) | (b'^\x00^\x00]\xe0]\xe0] ]@',)             | 0
>> Thu Jun  3 16:40:51 2021 | (b'Y\xe0]\x00',) | (23648, 23680, 23776, 23744, 23808, 23840, 23808, 23904) | (b']`]\xa0]\xe0^\x00^ ^\x00',)             | 0
>> Thu Jun  3 16:40:51 2021 | (b'[\x00]\xc0',) | (23744, 23744, 23872, 23968, 23968, 23584, 23808, 24000) | (b']@\\ \\\xa0\\\xe0]\x00] ',)             | 0
>> Thu Jun  3 16:40:51 2021 | (b'[`^`',) | (23872, 23968, 24032, 23968, 24000, 24032, 24032, 24064) | (b'^\x00]@] ]@]@\\\xe0',)                  | 0
>> Thu Jun  3 16:40:51 2021 | (b'Z ]\xc0',) | (23840, 23840, 23936, 24032, 24032, 24064, 24064, 24032) | (b'^`^ ^ ^@^@^@',)                         | 0
>> Thu Jun  3 16:40:51 2021 | (b'[\x80^ ',) | (23936, 24032, 24064, 24096, 24032, 24128, 24160, 24096) | (b'^@^@^ ^`^@^`',)                         | 0
>> Thu Jun  3 16:40:51 2021 | (b'[`]\xa0',) | (23808, 23840, 23904, 24000, 24096, 24096, 23808, 23904) | (b'\\\x00\\\xc0\\\x80] ]`]\x80',)          | 0
>> Thu Jun  3 16:40:51 2021 | (b'Z\xe0]\xe0',) | (23840, 23840, 23904, 24000, 24000, 24032, 24096, 23968) | (b'\\\xc0]\x00\\`]\xa0]\xa0] ',)           | 0
>> Thu Jun  3 16:40:51 2021 | (b'Z\xe0^\x00',) | (23840, 23872, 24000, 23968, 24000, 24032, 24032, 24064) | (b'^ ]\xa0\\\xa0\\\xe0[\x00\\\x80',)       | 0
>> Thu Jun  3 16:40:52 2021 | (b'Y\xe0\\\xc0',) | (23200, 23264, 23392, 23424, 23520, 23488, 23680, 23776) | (b'\\\xe0]`]\xa0]\xc0]\xe0]\xe0',)         | 0
